Company,Profile URL,Website,Phone,Email,Address,Social,Contact person,Заметка
LEGACY,https://workspace.ru/contractors/legacystudio/,http://legacystudio.ru/,+7 3452 69-23-29,info@legacystudio.ru,"ул. Республики 142, Тюмень",vk.com/legacystudio,"Andrew Shapin (Art Director)",
Weblink-a,https://workspace.ru/contractors/weblink-a/,https://weblink-a.ru,+7 996 395-82-08 / +7 908 319-34-18,info@weblink-a.ru,"ул. Максима Горького 68, Тюмень",vk.com/weblink_agency; t.me/weblink_agency,Денис Чепурко,
CRT,https://workspace.ru/contractors/creativeru/,https://crtweb.ru,+7 499 113-68-89 / +7 982 930-09-12,sales@crtweb.ru,"ул. Малыгина 84/1, Тюмень",t.me/crtdev; vk.com/crtweb,Ольга Щербинина (PR-менеджер),
HART code,https://workspace.ru/contractors/hartcode/,https://hartcode.ru,+7 929 264-78-88,info@hartcode.ru,"ул. Тимофея Чаркова 60, Тюмень",t.me/hartcode; vk.com/hartcode,Олеся Абрамович (CEO),
Агентство Лайтшоп2,https://workspace.ru/contractors/brendingovoe-agentstvo-laytshop2/,https://liteshop.design,8 982 938-82-13,liteshopme@gmail.com,"Сакко 35, офис 5, Тюмень",t.me/liteshop_studio; vk.com/liteshop.design,Александр Назаров (CEO),
Digital-студия Эксперт,https://workspace.ru/contractors/ite72/,https://studio-expert.ru,+7 3452 950-459 / +7 950 497-68-51,info@studio-expert.ru,"ул. 50 лет ВЛКСМ 51, офис 702, Тюмень",t.me/studio_expert; vk.com/studio.expert,Вячеслав Голышев,
Lunary,https://workspace.ru/contractors/722409795256/,,8 922 075-60-88 / 8 922 001-59-98,,"ул. Широтная 168/2, Тюмень",vk.com/public198422138; t.me/lunary_tmn,Яна Мякишева,нет сайта — писать в TG/VK
Дот Спейс,https://workspace.ru/contractors/ooo-dot-speys/,https://d0t.space,+7 980 044-04-18,,Тюмень,t.me/d0tspace; vk.com/dot.space,Андрей Балин (Исполнительный директор),сайт недоступен (ошибка SSL) — писать в TG/VK
DMI agency,https://workspace.ru/contractors/media-instance/,https://dmi.agency,+7 3452 57-83-74 / 8 800 777-29-18,,"ул. Харьковская 77, офис 403, Тюмень",,Aleksandr Kozhevnikov,домен припаркован/продаётся
IQ Online,https://workspace.ru/contractors/iq-adv/,https://iq-adv.ru/,+7 3452 662-117 / 8 800 200-08-51,welcome@iq-adv.ru,"Пермякова 1 к5, офис 903, Тюмень",vk.com/iq_online; t.me/blog_iq_online,Светлана Глушок (Исполнительный директор),
